"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1905818","regulation of chromosome separation","24/263","82/18842",0.292682926829268,20.9685616247797,21.5603582928454,1.64492030974953e-25,3.17021005151727e-23,2.87106745105737e-23,"NDC80/KNTC1/UBE2C/ZWINT/NCAPG/BIRC5/TTK/FBXO5/TRIP13/AURKB/NUF2/CCNB1/DLGAP5/SPC24/PLK1/NCAPH/CENPF/CDC20/BUB1/CDCA8/SKA1/KNL1/SPC25/SKA3",24
"GO:0051783","regulation of nuclear division","28/263","135/18842",0.207407407407407,14.8592029291649,19.2274524775677,5.11500208413834e-25,9.03650368197773e-23,8.18381469084967e-23,"NDC80/KNTC1/UBE2C/ZWINT/BIRC5/TTK/FBXO5/TRIP13/AURKB/NUF2/PKMYT1/CCNB1/DLGAP5/SPC24/PLK1/NEK2/CENPF/CDC20/AURKA/CHEK1/BUB1/CDCA8/SKA1/KNL1/SPC25/MKI67/CDCA2/SKA3",28
"GO:0051304","chromosome separation","24/263","88/18842",0.272727272727273,19.5388869685448,20.739425336767,1.10446032681571e-24,1.80111991757639e-22,1.63116534449501e-22,"NDC80/KNTC1/UBE2C/ZWINT/NCAPG/BIRC5/TTK/FBXO5/TRIP13/AURKB/NUF2/CCNB1/DLGAP5/SPC24/PLK1/NCAPH/CENPF/CDC20/BUB1/CDCA8/SKA1/KNL1/SPC25/SKA3",24
"GO:0051983","regulation of chromosome segregation","28/263","140/18842",0.2,14.3285171102662,18.8330433909139,1.49586166059108e-24,2.26516194318077e-22,2.05142013328978e-22,"NDC80/KNTC1/UBE2C/RMI2/ZWINT/NCAPG/BIRC5/KIF2C/TTK/FBXO5/TRIP13/AURKB/NUF2/CDK1/CCNB1/DLGAP5/SPC24/PLK1/NCAPH/CENPF/CDC20/CDC6/BUB1/CDCA8/SKA1/KNL1/SPC25/SKA3",28
"GO:0010965","regulation of mitotic sister chromatid separation","22/263","69/18842",0.318840579710145,22.84256350912,21.6261889973103,2.07690659835214e-24,2.93536132567103e-22,2.65837916802806e-22,"NDC80/KNTC1/UBE2C/ZWINT/BIRC5/TTK/FBXO5/TRIP13/AURKB/NUF2/CCNB1/DLGAP5/SPC24/PLK1/CENPF/CDC20/BUB1/CDCA8/SKA1/KNL1/SPC25/SKA3",22
"GO:0051306","mitotic sister chromatid separation","22/263","71/18842",0.309859154929577,22.1991110159053,21.2922619440659,4.28171218609282e-24,5.67326864657299e-22,5.13793618958604e-22,"NDC80/KNTC1/UBE2C/ZWINT/BIRC5/TTK/FBXO5/TRIP13/AURKB/NUF2/CCNB1/DLGAP5/SPC24/PLK1/CENPF/CDC20/BUB1/CDCA8/SKA1/KNL1/SPC25/SKA3",22
"GO:0045839","negative regulation of mitotic nuclear division","21/263","64/18842",0.328125,23.5077233840304,21.4593009479141,1.183794883953e-23,1.47626185528257e-21,1.33696105086501e-21,"NDC80/KNTC1/ZWINT/BIRC5/TTK/FBXO5/TRIP13/AURKB/NUF2/CCNB1/SPC24/PLK1/CENPF/CDC20/CHEK1/BUB1/CDCA8/SKA1/KNL1/SPC25/SKA3",21
"GO:0033047","regulation of mitotic sister chromatid segregation","21/263","65/18842",0.323076923076923,23.1460661011992,21.2793740508994,1.72730152144924e-23,2.03437734748466e-21,1.84241248706413e-21,"NDC80/KNTC1/ZWINT/BIRC5/TTK/FBXO5/TRIP13/AURKB/NUF2/CDK1/CCNB1/SPC24/PLK1/CENPF/CDC20/BUB1/CDCA8/SKA1/KNL1/SPC25/SKA3",21
"GO:0044772","mitotic cell cycle phase transition","42/263","434/18842",0.0967741935483871,6.93315344045137,14.8780434809218,2.25083352701899e-23,2.5114563564633e-21,2.27447408298447e-21,"NDC80/KNTC1/UBE2C/CDKN3/RRM2/CDC25A/ZWINT/ORC1/E2F1/BIRC5/TTK/FBXO5/TRIP13/AURKB/CCNA2/NUF2/CDK1/PKMYT1/CCNB1/CCNB2/DLGAP5/SPC24/PLK1/NEK2/CENPF/CDC20/AURKA/CDC6/CHEK1/BUB1/MELK/CDCA8/SKA1/KNL1/SPC25/FOXM1/ANLN/DTL/SKA3/CCNF/STIL/CLSPN",42
"GO:0033046","negative regulation of sister chromatid segregation","20/263","58/18842",0.344827586206897,24.7043398452865,21.5112923987029,4.37945203012558e-23,4.0367123060288e-21,3.65580612097775e-21,"NDC80/KNTC1/ZWINT/BIRC5/TTK/FBXO5/TRIP13/AURKB/NUF2/CCNB1/SPC24/PLK1/CENPF/CDC20/BUB1/CDCA8/SKA1/KNL1/SPC25/SKA3",20
"GO:0033048","negative regulation of mitotic sister chromatid segregation","20/263","58/18842",0.344827586206897,24.7043398452865,21.5112923987029,4.37945203012558e-23,4.0367123060288e-21,3.65580612097775e-21,"NDC80/KNTC1/ZWINT/BIRC5/TTK/FBXO5/TRIP13/AURKB/NUF2/CCNB1/SPC24/PLK1/CENPF/CDC20/BUB1/CDCA8/SKA1/KNL1/SPC25/SKA3",20
"GO:0045841","negative regulation of mitotic metaphase/anaphase transition","20/263","58/18842",0.344827586206897,24.7043398452865,21.5112923987029,4.37945203012558e-23,4.0367123060288e-21,3.65580612097775e-21,"NDC80/KNTC1/ZWINT/BIRC5/TTK/FBXO5/TRIP13/AURKB/NUF2/CCNB1/SPC24/PLK1/CENPF/CDC20/BUB1/CDCA8/SKA1/KNL1/SPC25/SKA3",20
"GO:2000816","negative regulation of mitotic sister chromatid separation","20/263","58/18842",0.344827586206897,24.7043398452865,21.5112923987029,4.37945203012558e-23,4.0367123060288e-21,3.65580612097775e-21,"NDC80/KNTC1/ZWINT/BIRC5/TTK/FBXO5/TRIP13/AURKB/NUF2/CCNB1/SPC24/PLK1/CENPF/CDC20/BUB1/CDCA8/SKA1/KNL1/SPC25/SKA3",20
"GO:0000075","cell cycle checkpoint signaling","30/263","191/18842",0.157068062827225,11.2527621284813,16.9443606204822,5.31278968560311e-23,4.66755993176897e-21,4.22712665034537e-21,"NDC80/KNTC1/ZWINT/ORC1/E2F1/RAD51/BIRC5/TTK/TRIP13/AURKB/CDC45/NUF2/CDK1/CCNB1/SPC24/PLK1/CENPF/CDC20/CDC6/BRCA2/CHEK1/BUB1/CDCA8/SKA1/KNL1/SPC25/DTL/SKA3/CDT1/CLSPN",30
"GO:0033045","regulation of sister chromatid segregation","25/263","115/18842",0.217391304347826,15.5744751198545,18.6520435059954,5.50419803274642e-23,4.66755993176897e-21,4.22712665034537e-21,"NDC80/KNTC1/UBE2C/RMI2/ZWINT/BIRC5/TTK/FBXO5/TRIP13/AURKB/NUF2/CDK1/CCNB1/DLGAP5/SPC24/PLK1/CENPF/CDC20/CDC6/BUB1/CDCA8/SKA1/KNL1/SPC25/SKA3",25
"GO:1902100","negative regulation of metaphase/anaphase transition of cell cycle","20/263","60/18842",0.333333333333333,23.8808618504436,21.1200901531573,9.69489952736627e-23,7.61229148074685e-21,6.89399186273904e-21,"NDC80/KNTC1/ZWINT/BIRC5/TTK/FBXO5/TRIP13/AURKB/NUF2/CCNB1/SPC24/PLK1/CENPF/CDC20/BUB1/CDCA8/SKA1/KNL1/SPC25/SKA3",20
"GO:1905819","negative regulation of chromosome separation","20/263","60/18842",0.333333333333333,23.8808618504436,21.1200901531573,9.69489952736627e-23,7.61229148074685e-21,6.89399186273904e-21,"NDC80/KNTC1/ZWINT/BIRC5/TTK/FBXO5/TRIP13/AURKB/NUF2/CCNB1/SPC24/PLK1/CENPF/CDC20/BUB1/CDCA8/SKA1/KNL1/SPC25/SKA3",20
"GO:0051784","negative regulation of nuclear division","21/263","70/18842",0.3,21.4927756653992,20.4368150548689,1.03060103481168e-22,7.80312212071699e-21,7.06681562841365e-21,"NDC80/KNTC1/ZWINT/BIRC5/TTK/FBXO5/TRIP13/AURKB/NUF2/CCNB1/SPC24/PLK1/CENPF/CDC20/CHEK1/BUB1/CDCA8/SKA1/KNL1/SPC25/SKA3",21
"GO:0051985","negative regulation of chromosome segregation","20/263","61/18842",0.327868852459016,23.4893723119117,20.931559044646,1.42466107135719e-22,1.04147636940595e-20,9.43202140128133e-21,"NDC80/KNTC1/ZWINT/BIRC5/TTK/FBXO5/TRIP13/AURKB/NUF2/CCNB1/SPC24/PLK1/CENPF/CDC20/BUB1/CDCA8/SKA1/KNL1/SPC25/SKA3",20
"GO:0030071","regulation of mitotic metaphase/anaphase transition","23/263","100/18842",0.23,16.4777946768061,18.4637451067092,7.77286732229308e-22,4.95513373603714e-20,4.48756484711909e-20,"NDC80/KNTC1/UBE2C/ZWINT/BIRC5/TTK/FBXO5/TRIP13/AURKB/NUF2/CCNB1/DLGAP5/SPC24/PLK1/CENPF/CDC20/CDC6/BUB1/CDCA8/SKA1/KNL1/SPC25/SKA3",23
"GO:0007094","mitotic spindle assembly checkpoint signaling","19/263","56/18842",0.339285714285714,24.3073058120587,20.7820129300265,7.85792197336288e-22,4.95513373603714e-20,4.48756484711909e-20,"NDC80/KNTC1/ZWINT/BIRC5/TTK/TRIP13/AURKB/NUF2/CCNB1/SPC24/PLK1/CENPF/CDC20/BUB1/CDCA8/SKA1/KNL1/SPC25/SKA3",19
"GO:0071173","spindle assembly checkpoint signaling","19/263","56/18842",0.339285714285714,24.3073058120587,20.7820129300265,7.85792197336288e-22,4.95513373603714e-20,4.48756484711909e-20,"NDC80/KNTC1/ZWINT/BIRC5/TTK/TRIP13/AURKB/NUF2/CCNB1/SPC24/PLK1/CENPF/CDC20/BUB1/CDCA8/SKA1/KNL1/SPC25/SKA3",19
"GO:0071174","mitotic spindle checkpoint signaling","19/263","56/18842",0.339285714285714,24.3073058120587,20.7820129300265,7.85792197336288e-22,4.95513373603714e-20,4.48756484711909e-20,"NDC80/KNTC1/ZWINT/BIRC5/TTK/TRIP13/AURKB/NUF2/CCNB1/SPC24/PLK1/CENPF/CDC20/BUB1/CDCA8/SKA1/KNL1/SPC25/SKA3",19
